what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640029747
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640041324
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640046680
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640048092
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640049642
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640069847
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640074158
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1338640075605
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640075605
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640075647
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640079725
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640092476
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640104646
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1338640114391
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640116950
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640125387
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640140292
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640150172
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640151440
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640168907
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640177186
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640184469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640200103
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640202599
executed,command,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui.phpServerShortcut.run",1338640202611
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640202766
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640202792
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640209747
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640209778
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.window.newEditor",1338640209779
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1338640211978
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640214933
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640216426
executed,command,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui.phpServerShortcut.run",1338640216437
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640216535
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1338640220802
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640229412
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640231116
executed,command,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui.phpServerShortcut.debug",1338640231127
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640231225
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1338640234475
executed,command,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui.phpServerShortcut.run",1338640268025
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640268105
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1338640291271
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640320320
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640322747
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640338017
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1338640345699
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1338640346851
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1338640346931
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1338640358424
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1338640367333
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1338640367533
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1338640373288
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1338640373377
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640378871
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1338640403824
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1338640405731
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1338640448852
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640461017
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338640468582
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1338640488174
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1338640491723
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1338640491805
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1338640511253
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1338640511947
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1338640512046
